!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
MATS Program (Winter 2027),MATS Research,https://matsprogram.org/apply,"San Francisco Bay Area.USA,London.UK",2026-08-20,6/9/2026,1. AI safety & policy,"* In this fellowship, you'll work with mentors from leading AI labs on a research fellowship focused on frontier AI safety.
* Apply to one or more of seven research tracks: Empirical, Theory, Strategy, Policy, Systems Security, Founding, or Biosecurity.
* Conduct original research under mentor guidance with full funding, compute, housing, and community support.
* Produce publications and field-building contributions in AI alignment, transparency, and security.
* Offers $8,000 in monthly compute for non-technical participants and $16,000 in monthly compute for technical participants.",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)",Research,Fellowship,"$19,200 stipend",https://www.matsprogram.org/,https://www.matsprogram.org/jobs/#job-descriptions,https://80000hours.org/wp-content/uploads/2023/10/MATS.jpeg,checked
"Principal Researcher, AI Risk Management","US Government, National Institute of Standards and Technology",https://www.usajobs.gov/job/881334900,"""Boulder, CO.USA"",""Washington, DC metro area.USA""",2026-08-20,2/9/2026,1. AI safety & policy,"* In this role, you'll establish national and international practices for trustworthy AI technology through the NIST AI Risk Management Framework.
* Develop and maintain guidelines including the AI RMF Playbook, Quick Start Guide, and context-specific profiles.
* Promote AI RMF adoption across government and external sectors to support trustworthy AI innovation.
* Engage target communities to expand framework utilisation and address evolving user needs.
* Advise external agencies on framework implementation and build strategic user communities.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Policy, Research",Full-time,"$118,675 - $197,200",https://www.nist.gov/,https://www.usajobs.gov/,https://80000hours.org/wp-content/uploads/2019/06/national-institute-of-standards-and-technology.png,checked
Chief Operating Officer / Director of Operations,Longview Philanthropy,https://www.longview.org/careers/chief-operating-officer,"San Francisco Bay Area.USA,London.UK,""Washington, DC metro area.USA"",""New York, NY.USA""",2026-08-20,6/9/2026,5. Building effective altruism,"* In this role, you'll scale operations for Longview as it doubles in size while maintaining agility and efficiency.
* Design and execute the hiring and operations strategy to build out critical functions in partnership with leadership.
* Manage and develop leaders across People Operations, Business Operations, Finance, Talent, and Grants Management.
* Build new ops functions including finance that invests capital and recruiting that headhunts for grantees.
* Ensure regulatory compliance and build systems that streamline operations as a service to grantmakers.",Undergraduate degree or less,Mid (5-9 years experience),"Operations, Strategy, Management",Full-time,"$165,000 - $330,000",https://www.longview.org/,https://www.longview.org/careers,https://80000hours.org/wp-content/uploads/2021/02/longview-philanthropy.jpeg,checked
Laboratory Operations Assistant,SecureBio,https://securebio.org/careers/lab-ops-assistant/,Boston metro area.USA,2026-08-20,1/1/2050,2. Biosecurity & pandemic preparedness,"* In this role, you'll manage the logistics backbone of the lab, ensuring supplies are stocked, inventory is organized, and hazardous waste is handled safely.
* Receive, inspect, and log incoming packages, matching them against purchase orders and flagging discrepancies.
* Manage inventory levels, place and track orders, and coordinate with vendors on ordering and account issues.
* Keep lab spaces, benches, and storage areas clean, organized, stocked, and ready for use.
* Handle hazardous waste per protocol and support basic reagent preparation and process improvements.",Undergraduate degree or less,Junior (1-4 years experience),Operations,Full-time,$35 per hour,https://securebio.org/,https://securebio.org/careers/,https://80000hours.org/wp-content/uploads/2023/05/SecureBio-1.png,checked
LASR Labs Programme (Winter 2027),London AI Safety Research Labs,https://www.lasrlabs.org/,London.UK,2026-08-20,20/9/2026,1. AI safety & policy,"* In this programme, you'll work in a team of three to four to develop an AI safety research project from proposal to publication over 13 weeks.
* Evaluate potential research projects in Week 0 to develop research prioritization skills.
* Design and run experiments, iterate on results, and write an AI safety research paper with a blog post.
* Receive regular supervision from an experienced AI safety researcher and support from LASR staff.
* Engage with leading researchers and organisations at the London Initiative for Safe AI.",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)","Research, Software engineering","Full-time,Other","£15,000 stipend",,,https://80000hours.org/wp-content/uploads/2025/09/lasr_labs_logo.webp,
Operations Manager,Astralis Foundation,https://jobs.ashbyhq.com/AstralisFoundation/e499270d-e65c-4e08-bc93-8df87e9b069a,Remote.Global,2026-08-20,28/8/2026,1. AI safety & policy,"* In this role, you'll support core operational functions for a rapidly growing AI safety foundation, including tech support, vendor management, office logistics, and finance processes.
* Manage cross-entity coordination between Stiftelsen Astralis (Sweden) and Astralis Foundation Ltd (UK).
* Support People Ops workstreams including recruitment, onboarding, and team development.
* Coordinate event logistics for team retreats, board meetings, and donor convenings.
* Proactively identify operational gaps and implement solutions to strengthen organizational effectiveness.",Undergraduate degree or less,Junior (1-4 years experience),Operations,Full-time,"$115,000",https://astralisfoundation.org/,,https://80000hours.org/wp-content/uploads/2025/07/astralis_foundation_logo.jpeg,
Programme Director,Advanced Research and Invention Agency,https://aria.org.uk/become-a-programme-director,London.UK,2026-08-20,28/9/2026,2. Biosecurity & pandemic preparedness,"* Our take on this role: We think some of the programmes in the Programmable Physiology opportunity space could be promising interventions for [biosecurity](https://80000hours.org/career-reviews/pandemic-prevention-biosecurity/).
* In this role, you'll design and launch ambitious R&D programmes within ARIA's opportunity spaces to realise scientific visions.
* Run discovery across academia, industry and government to understand where ARIA can create greatest impact.
* Translate discoveries into focused programmes with clear theories of change and select appropriate funding mechanisms.
* Select and fund R&D project portfolios across universities and companies to unlock breakthroughs.
* Create new communities around programme visions and manage programmes.",Undergraduate degree or less,Senior (10+ years experience),"Research, Strategy, Management",Full-time,Not Found,https://www.aria.org.uk/,https://www.civilservicejobs.service.gov.uk/csr/index.cgi,https://80000hours.org/wp-content/uploads/2023/02/ARIA.jpeg,
"Intern, Critical Minerals Security Program",Center for Strategic and International Studies,https://job-boards.greenhouse.io/centerforstrategicandinternationalstudiesinc/jobs/4363618009,"""Washington, DC metro area.USA""",2026-08-20,1/1/2050,6. Career development: Policy & government,"* In this role, you'll provide research support and contribute to critical minerals supply chain initiatives.
* Monitor key developments and issues related to critical minerals and supply chain vulnerabilities.
* Compile, organize, and analyze data to support the Program's research activities.
* Support program staff with logistical coordination for events and administrative tasks.
* Attend CSIS and external events to document findings and write debriefing summaries.",Undergraduate degree or less,Entry-level,"Research, Policy",Internship,$18.40 - $20.40 per hour,https://www.csis.org/,https://csis-careers.netlify.com/opportunities,https://80000hours.org/wp-content/uploads/2019/07/Center-for-Strategic-and-International-Studies.jpg,
Career Advisor,Effective Altruism Sweden,https://docs.google.com/document/d/1Zamr6b3xLaUl1aDAUVJr-zUICZUqHPincZpWy65sb78/edit?usp=sharing,".Sweden,Stockholm.Sweden",2026-08-20,18/9/2026,5. Building effective altruism,"* In this role, you'll deliver 1-1 career coaching and run structured programs helping people pursue high-impact careers in priority cause areas.
* Coach community members navigating career transitions in AI safety, biosecurity, animal welfare, and global health.
* Design and deliver scaled programs including upskilling, interview preparation, and networking events.
* Grow awareness of EA Sweden's career support through targeted outreach, relationship-building, and event coordination.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Other,Full-time,"38,000 - 43,000 SEK per month",https://www.effektivaltruism.org/,https://www.effektivaltruism.org/lediga-tjanster,https://80000hours.org/wp-content/uploads/2023/03/EA-logo.png,
Futurekind AI Fellowship (Summer 2026),Electric Sheep,https://www.electricsheep.is/futurekind,Remote.Global,2026-08-20,15/9/2026,"1. AI safety & policy,B. Animal welfare","* In this role, you'll complete a 12-week journey exploring AI applications for animal protection, progressing from immersion to specialisation to project work.
* Engage in weekly facilitated discussions and complete readings and pre-session exercises.
* Select a specialisation track—Builder (coding), Researcher (policy), or Career-Developer (advocacy).
* Create a final project advancing animal protection using AI with expert mentorship and platform access.
* Attend optional workshops, webinars and QandAs with senior researchers and practitioners.",Undergraduate degree or less,Entry-level,Research,Fellowship,Not Found,https://www.electricsheep.is/,,https://80000hours.org/wp-content/uploads/2025/10/electric_sheep_logo.jpeg,
"Researcher, Critical Technologies",Global Public Policy Institute,https://gppi.net/2026/08/14/gppi-seeks-part-time-researcher-focusing-on-critical-technologies,Berlin.Germany,2026-08-20,1/1/2050,6. Career development: Policy & government,"* In this role, you'll research AI and critical technologies, examining their implications for economic security, tech sovereignty, and governance.
* Conduct data collection and analysis on emerging technology trends and their policy impacts.
* Draft written research outputs and papers on technology security and governance issues.
* Support project-related events and dialogue formats convening policy experts.
* Assist with administrative processes and project management tasks.",Master's degree,Entry-level,"Research, Policy",Part-time,Not Found,https://gppi.net/,https://gppi.net/about/jobs-internships,https://80000hours.org/wp-content/uploads/2026/08/global_public_policy_institute_logo.png,
